song_id,title,hidden,author,themes,ccli_number,last_scheduled_at,last_used_at,recent_uses_found,recent_use_1,recent_use_2,recent_use_3,days_since_last_use,usage_band,recency_band,bpm,length_seconds,meter,arrangement_name
17430680,We Glorify Your Name,False,"Reuben Morgan, Chris Tomlin, Matt Maher, and Ed Cash",,6502229,2019-10-13T10:00:00Z,2019-10-13T10:00:00Z,2,2019-10-13T10:00:00Z,2019-05-19T10:00:00Z,,2329,Occasional,365d+,,300,,Default Arrangement
16668046,Come And Worship,False,Bebo Norman,,5100062,2018-12-23T10:00:00Z,2018-12-23T10:00:00Z,2,2018-12-23T10:00:00Z,2018-12-23T10:00:00Z,,2623,Occasional,365d+,,300,,Default Arrangement
12495200,Sometimes By Step,False,Rich Mullins and David (Beaker) Strasser,"Consecration, Praise, Worship",915125,2018-06-17T10:00:00Z,2018-06-17T10:00:00Z,2,2018-06-17T10:00:00Z,2016-07-10T10:00:00Z,,2812,Occasional,365d+,,180,,Default Arrangement
27619725,El Shaddai,False,John W. Thompson and Michael Card,"el, God's Attributes, Father, Redemption, Adoration",26856,2025-02-23T10:00:00Z,2025-02-23T10:00:00Z,1,2025-02-23T10:00:00Z,,,369,Infrequent,365d+,60,300,4/4,Amy Grant
27619786,King of kings and Lord of lords,False,,,,2025-02-23T10:00:00Z,2025-02-23T10:00:00Z,1,2025-02-23T10:00:00Z,,,369,Infrequent,365d+,,,,
27572128,I Believe,False,,,,2025-01-26T10:00:00Z,2025-01-26T10:00:00Z,1,2025-01-26T10:00:00Z,,,397,Infrequent,365d+,,,,
27458915,Let The New Year In,False,,,,2025-01-05T10:00:00Z,2025-01-05T10:00:00Z,1,2025-01-05T10:00:00Z,,,418,Infrequent,365d+,,300,3/4,Default Arrangement
27432266,Bread Upon The Water,False,Bill Grein and Janny Grein,"Giving, Blessing, Love, Faith",17494,2024-12-29T10:00:00Z,2024-12-29T10:00:00Z,1,2024-12-29T10:00:00Z,,,425,Infrequent,365d+,,300,4/4,Default Arrangement
27403884,For Unto Us A Child Is Born / Open The Eyes Of My Heart,False,"George Frideric Handel, Michael Rossback, and Paul Baloche","Cleansing, Humility, Surrender, Christmas",7100943,2024-12-22T10:00:00Z,2024-12-22T10:00:00Z,1,2024-12-22T10:00:00Z,,,432,Infrequent,365d+,102,215,4/4,Paul Baloche
27325571,Yes I Will,False,"Eddie Hoagland, Jonathan Smith, and Mia Fieldes",,7105442,2024-12-08T10:00:00Z,2024-12-08T10:00:00Z,1,2024-12-08T10:00:00Z,,,446,Infrequent,365d+,,300,4/4,Default Arrangement
27294204,Somewhere In Your Silent Night,False,"Matthew West, Bernie Herms, and Mark Hall",,7101254,2024-12-07T10:00:00Z,2024-12-07T10:00:00Z,1,2024-12-07T10:00:00Z,,,447,Infrequent,365d+,,270,4/4,Default Arrangement
27262180,O Come All Ye Faithful (His Name Shall Be),False,JD Myers and Kristian Stanfill,"Adoration, Advent, Birth, Christmas, Faithfulness, Invitation, Jesus",7163644,2024-12-01T10:00:00Z,2024-12-01T10:00:00Z,1,2024-12-01T10:00:00Z,,,453,Infrequent,365d+,,360,4/4,Default Arrangement
27262325,The Perfect 10,False,Inc. Kid Connection and Kathie Hill,Power,110982,2024-12-01T10:00:00Z,2024-12-01T10:00:00Z,1,2024-12-01T10:00:00Z,,,453,Infrequent,365d+,,220,4/4,Default Arrangement
27179960,Wake Up,False,"Don Chaffer, David Leonard, and Leslie Jordan",Truth,6092272,2024-11-17T10:00:00Z,2024-11-17T10:00:00Z,1,2024-11-17T10:00:00Z,,,467,Infrequent,365d+,,360,4/4,Default Arrangement
27105049,Without A Cause,False,,,,2026-03-01T10:00:00Z,2024-11-03T10:00:00Z,1,2024-11-03T10:00:00Z,,,481,Infrequent,365d+,,300,4/4,Default Arrangement
27072838,Heaven Changes Everything,False,"Jeff Pardo, Matthew West, and Mike Weaver",,7200360,2024-10-27T14:00:00Z,2024-10-27T14:00:00Z,1,2024-10-27T14:00:00Z,,,488,Infrequent,365d+,,300,4/4,Default Arrangement
26994308,God Bless Our Native Land,False,"Charles Timothy Brooks, John Sullivan Dwight, Siegfried A. Mahlmann, Thomas Chesterton, and William E. Hickson",Patriotic,140385,2024-10-13T10:00:00Z,2024-10-13T10:00:00Z,1,2024-10-13T10:00:00Z,,,502,Infrequent,365d+,,150,3/4,Default Arrangement
26943629,Is Anything Too Hard For My God?,False,,,,2024-10-06T10:00:00Z,2024-10-06T10:00:00Z,1,2024-10-06T10:00:00Z,,,509,Infrequent,365d+,,300,4/4,Default Arrangement
26796120,Let It Begin,False,Emily Weisband and Matt Maher,"Freedom, Healing, Mercy, Restoration",7234268,2024-09-29T10:00:00Z,2024-09-29T10:00:00Z,1,2024-09-29T10:00:00Z,,,516,Infrequent,365d+,148,270,4/4,Default Arrangement
